"country","north","south","east","west"
"Jordan","33.367668","29.185888","39.301167","34.959999"
"Japan","45.52314","24.249472","145.820892","122.93853"
"Kenya","5.019938","-4.678047","41.899078","33.908859"
"Kyrgyzstan","43.238224","39.172832","80.283165","69.276611"
"Cambodia","14.686417","10.409083","107.627724","102.339996"
"Kiribati","4.71957","-11.446881150186856","-150.215347","169.556137"
"Comoros","-11.362381","-12.387857","44.538223","43.21579"
"Saint Kitts and Nevis","17.420118","17.095343","-62.543266","-62.86956"
"North Korea","43.006054","37.673332","130.674866","124.315887"
"South Korea","38.612446","33.190945","129.584671","125.887108"
"Kuwait","30.095945","28.524611","48.431473","46.555557"
"Cayman Islands","19.7617","19.263029","-79.727272","-81.432777"
"Kazakhstan","55.451195","40.936333","87.312668","46.491859"
"Laos","22.500389","13.910027","107.697029","100.093056"
"Lebanon","34.691418","33.05386","36.639194","35.114277"
"Saint Lucia","14.103245","13.704778","-60.874203","-61.07415"
"Liechtenstein","47.2706251386959","47.0484284123471","9.63564281136796","9.47167359782014"
"Sri Lanka","9.831361","5.916833","81.881279","79.652916"
"Liberia","8.551791","4.353057","-7.365113","-11.492083"
